Kategorie	Titel	Personen	Prozent	Jahr	Kommentar	Quelle
Partnerschaft	Eheschließungen gleichgeschlechtlich	18456		2023	2x genommen, da 2 Personen	https://www.destatis.de/DE/Themen/Querschnitt/Demografischer-Wandel/Hintergruende-Auswirkungen/demografie-ehen.html
Mobilität	Autos zugelassen		58.3	2022		https://www.tagesschau.de/wirtschaft/verbraucher/pkw-deutschland-statistisches-bundesamt-100.html
Mobilität	Deutschlandticket	13100000		2024	Stand Okt.'24	https://www.zeit.de/mobilitaet/2023-06/49-euro-ticket-deutschlandticket-fahrgaeste-anstieg
Mobilität	Bahncard	5000000		2022		https://www.deutschebahn.com/de/presse/pressestart_zentrales_uebersicht/Wieder-ueber-5-Millionen-DB-mit-Rekordzahlen-bei-BahnCard-Neuverkaeufen--8791886
Mobilität	Mitglieder ADAC	21800000		2023		https://www.adac.de/der-adac/verein/corporate-news/mitgliederzahl/
Mobilität	Mitglieder ADFC	230000		2023		https://www.adfc.de/ueber-uns
Wahl 2021	Wähler	46854508		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme SPD	11901558		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme CDU/CSU	11177747		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme Grüne	6852206		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme FDP	5291013		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme AFD	4803902		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Wahl 2021	Zweitstimme Linke	2255864		2021		https://www.bundeswahlleiterin.de/bundestagswahlen/2021/ergebnisse/bund-99.html
Sport	Mitglieder Fitnessstudio	11300000		2023		https://de.statista.com/statistik/daten/studie/5966/umfrage/mitglieder-der-deutschen-fitnessclubs/
Sport	Mitglieder DFB	7364775		2023		https://www.dfb.de/verbandsstruktur/mitglieder/statistiken-der-vorjahre/
Sport	Mitglieder DTB	4300000		2023		https://www.dtb.de/der-verband/verbandsstruktur/mitglieder-im-dtb
